sc	rl	cl	kl	rh	ch	kh
3061	74.46	187.7	94.38	13	5	3
3062	48.36	347.02	56.84	10	8	3
3063	36.85	88.73	51.69	8	3	3
3064	24.74	231.26	298.62	8	6	8
3065	38.86	104.74	225.58	17	4	7
3066	62.07	224.29	481.87	18	6	11
3067	40.44	79.1	95.78	9	3	3
3068	50.69	58.43	359.05	10	4	8
3069	35.33	111.07	120.97	8	5	4
3070	21.16	198.96	115.12	8	6	3
3071	56.0	255.08	83.5	13	6	3
3072	43.49	191.07	480.21	11	6	13
3073	53.49	207.37	85.87	11	6	4
3074	25.46	132.7	220.6	10	5	5
3075	82.52	233.72	159.28	20	6	3
3076	59.14	196.22	123.74	16	6	3
3077	12.66	241.5	29.44	8	6	3
3078	52.12	250.9	175.3	11	6	5
3079	54.61	142.49	63.47	15	5	3
3080	57.54	97.0	277.18	14	4	7
3081	70.01	236.95	256.55	15	5	5
3082	45.55	219.33	103.95	11	6	4
3083	43.53	383.13	43.53	8	8	2
3084	22.42	138.04	27.34	9	4	3
3085	26.78	243.46	257.4	7	7	9
3086	51.94	238.54	181.92	11	6	5
3087	66.27	231.81	288.55	18	6	6
3088	41.21	116.53	86.09	10	4	3
3089	53.01	82.87	97.89	15	3	3
3090	63.21	270.45	111.17	14	5	3
3091	6.4	189.44	134.28	7	5	3
3092	71.94	234.3	94.54	18	6	4
3093	17.65	292.93	95.01	9	7	4
3094	78.37	159.89	86.03	19	6	3
3095	47.18	406.2	57.16	7	8	3
3096	61.0	176.1	168.78	14	5	5
3097	24.04	295.74	77.62	5	9	3
3098	22.76	28.1	152.1	8	3	5
3099	23.09	78.55	182.75	7	5	6
3100	54.46	239.52	147.86	10	8	5
3101	27.37	85.03	85.21	11	4	3
3102	17.83	135.85	54.39	11	4	3
3103	43.02	190.98	123.76	9	5	4
3104	67.15	179.07	167.71	17	5	5
3105	49.79	248.93	49.79	12	7	2
3106	70.92	278.3	159.1	13	7	6
3107	36.97	172.95	83.57	11	6	3
3108	77.74	268.36	77.74	15	6	2
3109	59.94	162.02	85.08	14	5	3
3110	26.1	160.0	29.8	9	7	3
3111	3.96	294.72	50.14	6	8	3
3112	19.76	167.58	238.02	11	6	7
3113	28.83	247.39	117.37	12	6	4
3114	63.91	215.27	63.91	15	7	2
3115	5.28	199.42	50.08	5	5	3
3116	16.94	297.38	181.2	7	7	6
3117	83.96	120.6	83.96	16	4	2
3118	62.86	464.84	167.72	11	8	5
3119	42.83	153.33	192.55	10	5	5
3120	21.41	270.19	65.63	7	7	3
3121	31.42	336.98	103.6	9	9	3
3122	27.3	193.74	142.9	9	7	5
3123	61.21	117.83	113.95	13	4	4
3124	72.29	239.17	117.99	16	6	4
3125	30.13	272.73	118.71	15	7	3
3126	63.95	201.59	107.41	12	5	3
3127	71.08	107.84	71.08	17	6	2
3128	63.05	186.87	63.05	15	6	2
3129	47.88	47.88	71.28	12	3	3
3130	60.75	362.17	60.75	15	7	2
3131	57.27	79.19	134.83	9	4	5
3132	42.83	166.11	113.13	9	6	3
3133	74.68	327.38	74.68	14	7	2
3134	55.29	178.11	191.03	13	6	5
3135	39.11	286.31	84.67	15	6	4
