sc	rl	cl	kl	rh	ch	kh
582	18.76	216.6	284.88	7	6	7
583	3.76	178.72	383.5	5	5	11
584	47.75	231.83	269.97	10	5	6
585	49.0	183.86	103.38	10	5	3
586	50.32	111.6	50.32	14	5	3
587	18.03	278.37	765.21	10	6	18
588	40.39	229.95	367.59	9	7	10
589	9.62	193.74	9.62	9	5	2
590	28.72	301.26	207.34	8	8	5
591	63.15	221.21	542.33	12	7	15
592	42.15	336.79	205.05	8	9	7
593	81.86	147.6	364.54	17	5	11
594	40.01	226.69	98.11	10	8	3
595	56.59	153.61	293.67	14	5	9
596	43.38	143.0	121.82	13	5	4
597	28.19	319.21	619.61	9	7	18
598	64.88	140.2	77.88	14	5	3
599	30.29	132.19	30.29	12	4	2
600	39.69	117.27	944.59	9	5	23
601	38.94	333.44	227.84	14	8	5
602	45.99	182.65	749.91	8	4	17
603	43.29	365.05	439.21	17	7	13
604	63.76	250.84	119.18	17	8	4
605	23.42	259.56	23.42	7	6	2
606	59.58	305.24	170.52	15	7	4
607	57.59	141.97	332.13	13	5	9
608	28.3	189.08	244.36	10	4	6
609	39.72	113.58	163.84	11	4	5
610	58.36	351.86	235.02	17	8	5
611	34.35	236.91	1001.49	14	6	24
612	58.48	186.24	318.78	12	5	7
613	25.13	367.33	386.55	10	8	9
614	26.86	66.1	114.14	9	4	3
615	7.82	131.14	373.16	4	6	10
616	42.86	177.36	43.6	7	5	3
617	38.06	262.18	277.12	10	6	8
618	60.44	352.92	73.44	12	8	3
619	45.08	143.54	119.82	9	4	3
620	33.86	141.16	326.66	9	4	10
621	17.95	174.59	389.35	8	5	9
622	62.48	130.52	139.88	12	5	5
623	45.73	244.13	120.01	12	6	4
624	60.53	171.33	644.41	14	5	15
625	10.89	200.85	137.47	6	6	5
626	30.0	221.38	287.26	9	6	8
627	39.33	192.19	39.33	13	6	2
628	47.77	232.93	103.63	11	5	3
629	43.53	256.63	269.45	11	7	8
630	34.22	161.02	129.66	9	5	4
631	22.01	371.09	149.93	11	9	4
632	42.14	314.42	42.14	12	8	2
633	60.2	141.16	631.8	16	5	14
634	53.7	132.04	677.04	10	5	13
635	31.61	207.65	166.95	14	6	5
636	30.83	67.03	30.83	7	4	2
637	47.14	244.96	214.4	9	6	6
638	61.67	192.51	121.03	14	6	4
639	45.94	114.22	131.04	15	4	3
640	9.48	203.06	500.14	8	6	10
641	64.91	264.63	363.23	13	6	10
642	73.88	252.06	73.88	15	5	2
643	63.31	248.73	111.95	17	7	3
644	56.24	238.68	162.34	9	7	6
645	32.41	151.89	38.09	12	4	3
646	28.84	228.3	126.78	10	6	4
647	36.24	213.8	619.86	11	6	16
648	12.53	273.87	486.07	6	7	14
649	23.56	210.32	23.56	8	6	2
650	13.34	116.16	191.96	6	3	5
651	21.25	190.11	124.75	9	6	4
652	49.76	192.74	49.76	15	8	2
653	20.31	291.27	172.11	10	7	5
654	61.15	212.83	182.07	15	5	5
655	39.13	221.97	81.63	10	6	4
656	36.14	133.26	39.26	8	5	3
657	58.86	247.76	58.86	11	7	2
658	21.03	166.31	521.55	10	5	15
659	52.13	324.37	403.69	12	7	11
660	41.09	190.99	241.25	10	5	6
661	26.01	270.85	331.21	11	6	10
662	81.56	181.3	135.8	17	5	5
663	48.74	248.88	141.76	10	8	4
664	51.68	282.22	355.58	11	8	11
665	34.26	212.4	422.64	9	6	10
666	6.18	213.38	167.82	6	6	5
