cycle	rlat	clat	klat	rhop	chop	khop	hopcat	latcat
1261	8.72	8.72	8.72	3	2	2	2	1
1262	14.5	55.42	14.5	3	4	2	2	1
1263	18.06	18.06	18.06	4	2	2	3	2
1264	47.34	47.34	47.34	6	2	2	2	3
1265	23.23	78.57	23.23	5	3	2	2	2
1266	38.02	46.32	38.02	4	3	2	1	3
1267	15.89	33.33	15.89	3	3	2	2	1
1268	26.78	60.42	26.78	6	3	2	2	2
1269	35.84	35.84	35.84	6	3	2	3	3
1270	54.84	73.48	54.84	6	3	2	2	3
1271	49.76	58.06	49.76	5	3	2	3	3
1272	22.97	41.61	22.97	3	4	2	2	2
1273	32.29	32.29	32.29	5	2	2	3	2
1274	23.22	23.22	23.22	5	2	2	3	2
1275	23.23	23.23	23.23	5	2	2	2	2
1276	26.78	60.42	26.78	6	3	2	2	2
1277	8.72	8.72	8.72	3	2	2	2	1
1278	10.35	28.99	10.35	2	3	2	2	1
1279	22.97	31.27	22.97	3	3	2	2	2
1280	32.29	32.29	32.29	5	3	2	3	2
1281	31.23	31.23	31.23	4	2	2	3	2
1282	24.61	24.61	24.61	5	2	2	3	2
1283	5.08	54.3	5.08	2	3	2	2	1
1284	27.17	27.17	27.17	4	3	2	2	2
1285	19.67	19.67	19.67	4	2	2	3	2
1286	22.97	31.27	22.97	3	3	2	2	2
1287	16.82	35.46	16.82	3	3	2	3	1
1288	20.97	66.91	20.97	4	3	2	3	2
1289	22.97	31.27	22.97	3	3	2	2	2
1290	54.84	73.48	54.84	6	3	2	2	3
1291	13.91	22.21	13.91	3	3	2	3	1
1292	26.78	82.12	26.78	6	3	2	2	2
1293	10.35	28.99	10.35	2	3	2	2	1
1294	47.34	47.34	47.34	6	2	2	2	3
1295	15.89	33.33	15.89	3	3	2	2	1
1296	50.89	50.89	50.89	7	2	2	1	3
1297	27.67	56.67	27.67	3	3	2	3	2
1298	30.73	104.71	30.73	5	4	2	1	2
1299	21.06	28.16	21.06	4	3	2	2	2
1300	34.71	44.87	34.71	4	3	2	2	3
1301	50.89	50.89	50.89	7	2	2	1	3
1302	14.5	14.5	14.5	3	2	2	2	1
1303	22.09	68.55	22.09	3	4	2	1	2
1304	4.15	43.49	4.15	2	4	2	1	1
1305	26.78	60.42	26.78	6	3	2	2	2
1306	11.74	58.2	11.74	2	4	2	3	1
1307	23.23	78.57	23.23	5	3	2	2	2
1308	12.87	12.87	12.87	4	3	2	2	1
1309	39.79	39.79	39.79	5	2	2	3	3
1310	22.09	22.09	22.09	3	2	2	1	2
1311	3.55	3.55	3.55	2	2	2	1	1
1312	14.5	55.42	14.5	3	4	2	2	1
1313	27.17	45.81	27.17	4	3	2	2	2
1314	29.69	29.69	29.69	6	2	2	2	2
1315	30.73	104.71	30.73	5	4	2	1	2
1316	14.5	14.5	14.5	3	2	2	2	1
1317	22.09	68.55	22.09	3	4	2	1	2
1318	39.79	39.79	39.79	5	2	2	3	3
1319	22.09	68.55	22.09	3	4	2	1	2
1320	38.02	38.02	38.02	4	2	2	1	3
1321	42.17	42.17	42.17	5	2	2	2	3
1322	15.05	69.29	15.05	2	3	2	2	1
1323	22.97	31.27	22.97	3	3	2	2	2
1324	11.74	20.04	11.74	2	3	2	3	1
1325	38.02	38.02	38.02	4	2	2	1	3
1326	32.29	32.29	32.29	5	3	2	3	2
1327	5.08	54.3	5.08	2	3	2	2	1
1328	38.02	38.02	38.02	4	2	2	1	3
1329	38.02	38.02	38.02	4	2	2	1	3
1330	14.5	55.42	14.5	3	4	2	2	1
1331	42.17	42.17	42.17	5	2	2	2	3
1332	13.91	22.21	13.91	3	3	2	3	1
1333	8.72	8.72	8.72	3	2	2	2	1
1334	24.61	24.61	24.61	5	2	2	3	2
1335	24.61	24.61	24.61	5	2	2	3	2
1336	8.72	8.72	8.72	3	2	2	2	1
1337	16.18	70.52	16.18	3	3	2	2	1
1338	35.84	59.32	35.84	6	3	2	3	3
1339	12.87	12.87	12.87	4	2	2	2	1
1340	39.79	39.79	39.79	5	2	2	3	3
1341	19.67	19.67	19.67	4	2	2	3	2
1342	35.84	59.32	35.84	6	3	2	3	3
1343	31.23	31.23	31.23	4	2	2	3	2
1344	27.17	45.81	27.17	4	3	2	2	2
1345	15.89	15.89	15.89	3	2	2	2	1
1346	27.12	27.12	27.12	4	2	2	1	2
1347	12.87	12.87	12.87	4	3	2	2	1
1348	23.23	78.57	23.23	5	3	2	2	2
1349	32.29	32.29	32.29	5	2	2	3	2
1350	27.12	27.12	27.12	4	2	2	1	2
1351	29.69	29.69	29.69	6	2	2	2	2
1352	15.89	15.89	15.89	3	2	2	2	1
1353	29.69	29.69	29.69	6	2	2	2	2
1354	34.71	34.71	34.71	4	2	2	2	3
1355	23.23	78.57	23.23	5	3	2	2	2
1356	32.29	32.29	32.29	5	2	2	3	2
1357	27.67	34.79	27.67	3	3	2	3	2
1358	12.62	12.62	12.62	2	2	2	1	1
1359	11.74	20.04	11.74	2	3	2	3	1
1360	8.72	8.72	8.72	3	2	2	2	1
1361	49.76	58.06	49.76	5	3	2	3	3
1362	12.87	12.87	12.87	4	3	2	2	1
1363	35.84	35.84	35.84	6	3	2	3	3
1364	16.82	35.46	16.82	3	3	2	3	1
1365	10.35	28.99	10.35	2	3	2	2	1
1366	10.35	28.99	10.35	2	3	2	2	1
1367	10.35	28.99	10.35	2	3	2	2	1
1368	5.08	54.3	5.08	2	3	2	2	1
1369	19.67	19.67	19.67	4	2	2	3	2
1370	42.17	42.17	42.17	5	2	2	2	3
1371	49.76	58.06	49.76	5	3	2	3	3
1372	39.79	39.79	39.79	5	2	2	3	3
1373	27.17	27.17	27.17	4	3	2	2	2
1374	29.69	29.69	29.69	6	2	2	2	2
1375	9.32	38.32	9.32	3	4	2	2	1
1376	35.84	59.32	35.84	6	3	2	3	3
1377	42.17	42.17	42.17	5	2	2	2	3
1378	12.87	12.87	12.87	4	3	2	2	1
1379	31.23	31.23	31.23	4	2	2	3	2
1380	13.91	22.21	13.91	3	3	2	3	1
1381	12.87	12.87	12.87	4	3	2	2	1
1382	22.09	68.55	22.09	3	4	2	1	2
1383	18.06	18.06	18.06	4	2	2	3	2
1384	16.18	16.18	16.18	3	3	2	2	1
1385	16.82	71.06	16.82	3	4	2	3	1
1386	23.22	23.22	23.22	5	2	2	3	2
1387	9.32	38.32	9.32	3	4	2	2	1
1388	47.34	47.34	47.34	6	2	2	2	3
1389	16.18	70.52	16.18	3	3	2	2	1
1390	9.32	9.32	9.32	3	2	2	2	1
